date,superior_lake_precipitation,michigan-huron_lake_precipitation,erie_lake_precipitation,ontario_lake_precipitation,superior_land_precipitation,michigan-huron_land_precipitation,erie_land_precipitation,ontario_land_precipitation,superior_lake_evaporation,michigan-huron_lake_evaporation,erie_lake_evaporation,ontario_lake_evaporation,superior_land_evaporation,michigan-huron_land_evaporation,erie_land_evaporation,ontario_land_evaporation,superior_lake_air_temperature,michigan-huron_lake_air_temperature,erie_lake_air_temperature,ontario_lake_air_temperature,superior_land_air_temperature,michigan-huron_land_air_temperature,erie_land_air_temperature,ontario_land_air_temperature
1979-01-01,65.88890277242142,98.97923153113749,111.08472843173044,185.09336761514223,47.50851466129979,90.51536674985675,99.39997449451472,161.13782810200226,106.81169524197416,79.29771409969419,50.52331809469771,71.39031485723018,16.383121509900274,22.47192055006613,23.048358093527384,28.464476648510384,262.2553405761719,265.4331970214844,267.7224426269531,268.185791015625,255.09309302098248,261.5323079427083,265.3639160959344,265.0670096329817
1979-02-01,72.94713505570608,55.9464940056935,63.410141637792314,70.12236523100502,62.05398358861866,46.70885969210477,65.61554778735427,72.42029453349939,54.09625789085932,59.22901328836191,42.40736077411633,68.65897904858818,16.115779242996762,17.711793191174063,20.770883569851296,22.337270544825856,261.8752136230469,264.28863525390625,265.3082275390625,263.4831237792969,255.8980930525943,259.6264668305715,263.26641042608964,259.9390600009227
1979-03-01,140.38197704800402,124.56179016074542,112.5198543588198,88.02964877957605,137.960517962317,139.17601171650898,114.39537668708452,90.42087637067311,31.075612501242727,18.882358629123413,-0.3715598510436102,15.809096215258691,37.85850552247071,35.67813093779037,39.507209225169035,41.66377606267019,268.6036071777344,271.3538818359375,272.9557189941406,274.45562744140625,266.1633657022301,270.5525206724803,274.12695171958524,273.7252437561516
1979-04-01,82.93737079102556,127.19740842053372,166.09745805955083,149.83797700681797,85.0558793095408,120.15556488445915,152.60951182764393,137.05229097314475,12.489237232170616,9.028745418473925,3.2641529043202984,8.634789342382135,41.468041750897605,51.05629116526803,57.95205648188827,68.30803133935383,272.3412170410156,274.95819091796875,276.3537292480469,277.062255859375,271.5252849685243,275.1657876968384,277.484783774928,277.4512980303426
1979-05-01,119.76416195765614,96.16873441872713,129.44575348338284,96.73330928695042,118.67832705986396,110.21335398461105,129.13058770084552,109.7898583540498,-4.519336962650775,-4.817536896133402,0.7090216073838351,4.152079556781979,54.71990299537627,89.9862734134957,110.57130540441332,105.5315441410648,276.5958251953125,279.6111755371094,281.26531982421875,282.96624755859375,278.74303457556493,282.1061584154765,284.76207873695773,284.63359562430793
1979-06-01,130.25632478376028,70.98474564003553,84.77633362426666,82.30963596672224,124.0843996880938,95.0739947518138,104.16492031155094,84.44280883789106,-16.954732939462012,-7.960117561894846,5.860301947681316,22.290228251147877,90.67832811557189,124.73519978336684,138.15742161083108,137.05836731002134,280.71026611328125,284.73126220703125,286.7620544433594,288.9681396484375,285.99717280779225,288.5663540363312,290.30173050729854,289.7159757839413
1979-07-01,56.4424789652848,70.73906589882917,87.78872619961949,79.3836627817217,70.19710649836689,85.63996012009221,99.27348053469896,75.11837591912257,-8.007273817967612,18.0413321827024,15.98135627168771,33.79426874155451,102.10979662326584,127.0944014849022,145.0329916193671,129.14395433565227,284.2897644042969,290.11688232421875,291.7095031738281,293.4426574707031,291.4036808089906,292.54681277275085,293.1763582731548,293.147043062946
1979-08-01,37.87821760165707,56.707276865679475,89.54603173601012,115.425006617997,49.613193248434456,58.249491269732246,102.89752669981031,105.85928479033946,22.062785552153255,51.87359313315786,43.38972633166819,84.41729203513655,77.93227521887823,82.90421889889892,112.18678159406328,89.33513355216441,287.3709411621094,290.966796875,292.61700439453125,293.2012939453125,288.75335389399436,291.23077090581256,292.8129684046695,291.4499201737051
1979-09-01,29.286131829278855,24.22450912788434,62.94346506756186,87.02347131448055,32.71464892682992,26.372201106654245,59.322545920691816,109.83102833647564,39.479970952037846,65.12428710245491,51.60932119494408,88.51750917022704,55.46767355480092,46.525270833697974,67.33153660438614,64.13087838652264,285.5685119628906,288.67205810546875,289.7652893066406,290.0845947265625,284.83252548886486,288.02169553438824,289.32307293540555,287.6844280573327
1979-10-01,120.62072252489207,88.8967277207338,80.22205030241597,138.31709373328874,118.42487829152137,96.36305927494593,73.70437819430748,114.755425960695,56.65071581735212,64.57634385559398,65.2490968573052,91.08046033814438,33.32729914505279,33.40531468516844,42.42257233745748,46.114982634209454,278.6471252441406,281.8298645019531,283.46954345703125,283.4120178222656,276.4098865767399,280.2444496154785,282.55439416985763,281.29256385142406
